"","dates","ret_5_yr_daily","ret_10_yr_daily","bps_credit_aaa","bps_credit_baa","spread_aaa.minus.baa","Close","Adj","PX_LAST","snp_ret","clusters_fcm"
"89",1990-05-09,8.819,8.879,9.57,10.49,0.92,342.86,531.6195,18.64,0.00268599086299139,2
"90",1990-05-10,8.787,8.817,9.55,10.5,0.95,343.82,533.1856,18.59,0.00294590397831533,2
"91",1990-05-11,8.627,8.645,9.43,10.41,0.98,352,545.9972,19.81,0.0240284058684255,2
"92",1990-05-14,8.591,8.608,9.39,10.37,0.98,354.75,550.5231,20.14,0.00828923664809999,2
"93",1990-05-15,8.615,8.643,9.39,10.37,0.98,354.28,549.8218,19.49,-0.00127387933403693,2
"94",1990-05-16,8.642,8.673,9.38,10.37,0.99,354,549.5017,17.71,-0.000582188629115879,2
"95",1990-05-17,8.666,8.687,9.39,10.34,0.95,354.47,550.2545,17.27,0.00136996846415576,2
"96",1990-05-18,8.717,8.743,9.41,10.37,0.96,354.64,550.5209,17.2,0.000484139611761423,2
"97",1990-05-21,8.706,8.729,9.41,10.38,0.97,358,555.8612,16.72,0.00970044915642634,2
"98",1990-05-22,8.643,8.651,9.37,10.35,0.98,358.43,556.8383,17.84,0.00175781292164294,2
"99",1990-05-23,8.56,8.59,9.36,10.34,0.98,359.29,558.1911,17.18,0.0024294305905323,2
"100",1990-05-24,8.599,8.637,9.4,10.32,0.92,358.41,556.8913,17.7,-0.00232859320042904,2
