KYTREASNOX,MCALDT,TMYTM
2000001,01/31/1986,6.7840189984
2000001,02/28/1986,6.9473186381
2000001,03/31/1986,6.2723949857
2000001,04/30/1986,5.8976753955
2000001,05/30/1986,6.1516193975
2000001,06/30/1986,5.8851137575
2000001,07/31/1986,5.632140287
2000001,08/29/1986,5.1222167117
2000001,09/30/1986,5.1105774962
2000001,10/31/1986,5.1222167117
2000001,11/28/1986,4.9595522633
2000001,12/31/1986,5.1127508154
2000001,01/30/1987,5.5807467662
2000001,02/27/1987,5.3667452979
2000001,03/31/1987,5.2022089372
2000001,04/30/1987,4.8576826944
2000001,05/29/1987,5.3870775418
2000001,06/30/1987,4.9273292069
2000001,07/31/1987,5.6011208337
2000001,08/31/1987,5.6609730205
2000001,09/30/1987,6.4995382113
2000001,10/30/1987,4.0225322105
2000001,11/30/1987,3.5133221671
2000001,12/31/1987,3.6869246448
2000001,01/29/1988,5.2852151959
2000001,02/29/1988,5.1720374063
2000001,03/31/1988,5.7340599065
2000001,04/29/1988,5.75402501
2000001,05/31/1988,5.864269222
2000001,06/30/1988,6.5397903918
2000001,07/29/1988,6.375983835
2000001,08/31/1988,7.2038652152
2000001,09/30/1988,7.0901677424
2000001,10/31/1988,6.7413256927
2000001,11/30/1988,6.826121781
2000001,12/30/1988,6.6105798379
2000001,01/31/1989,7.8831222935
2000001,02/28/1989,7.536208732
2000001,03/31/1989,8.7754920165
2000001,04/28/1989,8.5608492039
2000001,05/31/1989,8.5935381822
2000001,06/30/1989,8.2542910407
2000001,07/31/1989,7.8431482234
2000001,08/31/1989,7.7852373732
2000001,09/29/1989,7.7537675602
2000001,10/31/1989,7.6892466395
2000001,11/30/1989,7.0704420621
2000001,12/29/1989,6.2637939553
2000001,01/31/1990,7.6430412333
2000001,02/28/1990,7.7043367347
2000001,03/30/1990,7.9988927591
2000001,04/30/1990,7.5165806335
2000001,05/31/1990,7.3358802745
2000001,06/29/1990,7.6414372125
2000001,07/31/1990,7.4647976289
2000001,08/31/1990,7.488278407
2000001,09/28/1990,7.0187276077
2000001,10/31/1990,6.7444660259
2000001,11/30/1990,6.6513962741
2000001,12/31/1990,5.4470246592
2000001,01/31/1991,5.8768054773
2000001,02/28/1991,5.7136792637
2000001,03/28/1991,5.8870017127
2000001,04/30/1991,5.416064879
2000001,05/31/1991,5.3875033663
2000001,06/28/1991,5.1833265567
2000001,07/31/1991,5.5408068954
2000001,08/30/1991,5.3055890496
2000001,09/30/1991,4.9887482443
2000001,10/31/1991,4.7863838742
2000001,11/29/1991,4.0632353975
2000001,12/31/1991,3.7165038872
2000001,01/31/1992,3.7274358137
2000001,02/28/1992,3.8495326005
2000001,03/31/1992,4.0114669449
2000001,04/30/1992,3.503796115
2000001,05/29/1992,3.6358723359
2000001,06/30/1992,3.5131227451
2000001,07/31/1992,3.0764873769
2000001,08/31/1992,3.0252721432
2000001,09/30/1992,2.6903718748
2000001,10/30/1992,2.7714911176
2000001,11/30/1992,2.6695518171
2000001,12/31/1992,2.924095647
2000001,01/29/1993,2.8629808971
2000001,02/26/1993,2.7206668315
2000001,03/31/1993,2.8632056868
